name,latitude,longitude,start,end
Butte/Tehama/Glenn Lightning Complex,40.09571,-122.4393,8/19/2020,9/19/2020
Creek Fire,39.8174372,-123.2111007,8/18/2020,9/6/2020
August Complex,37.19147,-119.261175,9/4/2020,10/3/2020
Zogg Fire,39.776,-122.673,8/16/2020,10/3/2020
Glass Fire,40.53927,-122.56656,9/27/2020,10/3/2020
Sheep Fire,38.56295,-122.49745,8/22/2020,9/9/2020
Valley Fire,40.274,-120.757,9/5/2020,9/25/2020
River Fire,32.765615,-116.692705,8/16/2020,9/4/2020
LNU Lightning Complex,38.48193,-122.14864,8/17/2020,10/2/2020
SCU Lightning Complex,37.439437,-121.30435,8/18/2020,10/1/2020
CZU Lightning Complex,37.17162,-122.22275,8/16/2020,9/23/2020
Loyalton Fire,39.702438,-120.143473,8/14/2020,8/27/2020
Lake Fire,34.679,-118.452,8/12/2020,9/29/2020
Gold Fire,41.11037,-120.923293,7/20/2020,8/12/2020
Hog Fire,40.420886,-120.86375,7/18/2020,8/17/2020
Mineral Fire,36.09493,-120.52193,7/13/2020,7/26/2020
Crews Fire,37.034839,-121.501532,7/5/2020,7/13/2020
Grant Fire,38.520981,-121.201927,6/12/2020,6/17/2020
