"","name","latitude","longitude","date"
"1","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-19"
"2","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-20"
"3","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-21"
"4","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-22"
"5","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-23"
"6","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-24"
"7","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-25"
"8","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-26"
"9","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-27"
"10","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-28"
"11","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-29"
"12","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-30"
"13","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-08-31"
"14","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-01"
"15","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-02"
"16","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-03"
"17","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-04"
"18","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-05"
"19","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-06"
"20","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-07"
"21","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-08"
"22","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-09"
"23","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-10"
"24","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-11"
"25","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-12"
"26","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-13"
"27","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-14"
"28","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-15"
"29","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-16"
"30","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-17"
"31","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-18"
"32","Butte/Tehama/Glenn Lightning Complex","40.09571","-122.4393","2020-09-19"
"33","Creek Fire","39.8174372","-123.2111007","2020-08-18"
"34","Creek Fire","39.8174372","-123.2111007","2020-08-19"
"35","Creek Fire","39.8174372","-123.2111007","2020-08-20"
"36","Creek Fire","39.8174372","-123.2111007","2020-08-21"
"37","Creek Fire","39.8174372","-123.2111007","2020-08-22"
"38","Creek Fire","39.8174372","-123.2111007","2020-08-23"
"39","Creek Fire","39.8174372","-123.2111007","2020-08-24"
"40","Creek Fire","39.8174372","-123.2111007","2020-08-25"
"41","Creek Fire","39.8174372","-123.2111007","2020-08-26"
"42","Creek Fire","39.8174372","-123.2111007","2020-08-27"
"43","Creek Fire","39.8174372","-123.2111007","2020-08-28"
"44","Creek Fire","39.8174372","-123.2111007","2020-08-29"
"45","Creek Fire","39.8174372","-123.2111007","2020-08-30"
"46","Creek Fire","39.8174372","-123.2111007","2020-08-31"
"47","Creek Fire","39.8174372","-123.2111007","2020-09-01"
"48","Creek Fire","39.8174372","-123.2111007","2020-09-02"
"49","Creek Fire","39.8174372","-123.2111007","2020-09-03"
"50","Creek Fire","39.8174372","-123.2111007","2020-09-04"
"51","Creek Fire","39.8174372","-123.2111007","2020-09-05"
"52","Creek Fire","39.8174372","-123.2111007","2020-09-06"
"53","August Complex","37.19147","-119.261175","2020-09-04"
"54","August Complex","37.19147","-119.261175","2020-09-05"
"55","August Complex","37.19147","-119.261175","2020-09-06"
"56","August Complex","37.19147","-119.261175","2020-09-07"
"57","August Complex","37.19147","-119.261175","2020-09-08"
"58","August Complex","37.19147","-119.261175","2020-09-09"
"59","August Complex","37.19147","-119.261175","2020-09-10"
"60","August Complex","37.19147","-119.261175","2020-09-11"
"61","August Complex","37.19147","-119.261175","2020-09-12"
"62","August Complex","37.19147","-119.261175","2020-09-13"
"63","August Complex","37.19147","-119.261175","2020-09-14"
"64","August Complex","37.19147","-119.261175","2020-09-15"
"65","August Complex","37.19147","-119.261175","2020-09-16"
"66","August Complex","37.19147","-119.261175","2020-09-17"
"67","August Complex","37.19147","-119.261175","2020-09-18"
"68","August Complex","37.19147","-119.261175","2020-09-19"
"69","August Complex","37.19147","-119.261175","2020-09-20"
"70","August Complex","37.19147","-119.261175","2020-09-21"
"71","August Complex","37.19147","-119.261175","2020-09-22"
"72","August Complex","37.19147","-119.261175","2020-09-23"
"73","August Complex","37.19147","-119.261175","2020-09-24"
"74","August Complex","37.19147","-119.261175","2020-09-25"
"75","August Complex","37.19147","-119.261175","2020-09-26"
"76","August Complex","37.19147","-119.261175","2020-09-27"
"77","August Complex","37.19147","-119.261175","2020-09-28"
"78","August Complex","37.19147","-119.261175","2020-09-29"
