"","date","cityid","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"1",2020-02-24,1,0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625
"2",2020-02-24,2,0.02,-0.0241,0.139,-0.0206,-0.0326,0.0116,-0.00907
"3",2020-02-24,3,0.04,0.0271,0.281,0.0329,0.0257,-0.00857,0.0147
"4",2020-02-24,4,0.0214,-0.00714,0.00286,-0.00286,0.0229,0.00286,-0.00206
"5",2020-02-24,5,0.0329,-0.00143,0.0386,0.0471,0.01,0.00286,-0.00461
"6",2020-02-24,6,0.00571,-0.02,0.0214,0.00143,0.0157,0.00143,-0.00332
"7",2020-02-24,7,0.0114,-0.0129,0.00857,-0.01,0.0314,-0.00286,0.00266
"8",2020-02-24,8,0.0229,-0.00571,0.0657,0.0271,0.00286,0.00286,-0.00501
"9",2020-02-24,9,0.0243,-0.0114,0.381,0.0386,-0.0343,0,0.00142
"10",2020-02-24,10,0.00857,-0.00286,-0.0114,0.0371,0.0286,-0.00286,0.00397
"11",2020-02-24,11,0.00714,0.0343,-0.0386,-0.0229,0.0214,-0.00143,0.00361
"12",2020-02-24,12,-0.0114,-0.0171,0.167,-0.0229,-0.0271,0.00429,-0.00179
"13",2020-02-24,13,0.0486,0.00429,0.29,0.124,0.00286,0.00286,0.00223
"14",2020-02-24,14,0.04,0.00714,0.403,0.0271,0.03,-0.00143,0.00403
"15",2020-02-24,15,0.0357,0.00429,0.221,0.03,0.02,-0.00286,0.00622
"16",2020-02-24,16,0.0143,-0.01,0.00143,-0.00571,0.0343,0.00143,-0.000504
"17",2020-02-24,17,-0.00429,-0.0186,0.0514,0.03,-0.00143,0.0143,-0.0119
"18",2020-02-24,18,0.0457,-0.00714,0.233,0.0343,0.0229,-0.00143,0.00453
"19",2020-02-24,19,0.00429,-0.0129,0.0286,0.0343,0.0143,0.00143,-0.00107
"20",2020-02-24,20,-0.0257,0.00143,0.0743,-0.0243,0.0129,0.00714,-0.00781
"21",2020-02-24,21,0.00429,0.00429,0.124,-0.00857,0.0186,0,-3.16e-08
"22",2020-02-24,22,0.0186,0.00143,-0.219,0.137,0.0229,-0.00429,0.00559
"23",2020-02-24,23,0.0571,0.00571,0.189,0.0271,0.0329,-0.00429,0.00702
"24",2020-02-24,24,0.0557,0.0114,0.313,0.0514,0.02,-0.00857,0.0108
"25",2020-02-24,25,0.0186,-0.0171,0.174,-0.00286,-0.0171,0.01,-0.0073
"26",2020-02-24,26,0.0129,0.00429,-0.00143,2.66e-10,0.0186,0,-0.00162
"27",2020-02-24,27,0.0143,0.05,0.261,0.0214,0.0143,-0.00143,0.00483
"28",2020-02-24,28,-0.0243,0.00286,-0.12,0.0257,0.0214,0.00429,-0.00626
"29",2020-02-24,29,-0.0114,-0.0329,0.14,0.00571,-0.0143,0.00714,-0.00492
"30",2020-02-24,30,0.0271,-0.0171,0.106,0.0614,0.0229,0.00429,-0.00123
"31",2020-02-24,31,0.0586,0.0257,0.179,0.0257,0.0271,-0.00286,0.00804
"32",2020-02-24,32,0.0343,0.05,0.00143,0.00857,0.0171,0,-0.00234
"33",2020-02-24,33,0.0114,0.0429,0.08,0.00286,-0.0429,0.00714,-0.00753
"34",2020-02-24,34,0.0486,0.01,0.197,0.0243,0.0114,-0.00286,0.00429
"35",2020-02-24,35,0.0243,0.00571,0.279,0.0257,0.00286,-0.00286,0.00541
"36",2020-02-24,36,-0.00714,-0.0414,0.0171,0.01,0.00143,0.00714,-0.00548
"37",2020-02-24,37,0.05,0.00714,0.117,0.0414,0.0586,-0.01,0.0136
"38",2020-02-24,38,0.00857,0.00143,0.0371,-0.00286,0.02,0,-3.16e-08
"39",2020-02-24,39,-0.0329,-0.0414,0.0471,0.03,-0.0486,0.0329,-0.032
"40",2020-02-24,40,0.0614,0.0671,0.301,0.0429,0.0286,-0.00857,0.0137
"41",2020-02-24,41,0.00571,0.0171,0.156,0.0257,0.02,-0.00286,0.00541
"42",2020-02-24,42,0.0257,0.0143,0.0457,0.0757,0.0171,-0.00571,0.01
"43",2020-02-24,43,0.02,0.00714,0.0729,0.0486,0.0186,-0.00143,0.00322
"44",2020-02-24,44,0.353,0.346,0.45,0.899,-0.0514,-0.00571,0.0158
"45",2020-02-24,45,0.0429,0.00143,-0.00571,0.00857,0.0129,0.00143,-0.00169
"46",2020-02-24,46,0.0271,-0.0114,0.307,0.0543,0.0243,-0.00429,0.00832
"47",2020-02-24,47,0.0414,-0.00143,0.231,0.0429,0.0114,0,0.000402
"48",2020-02-24,48,0.00714,-0.00714,0.0629,0.0171,0.0114,0.00143,-0.000234
"49",2020-02-24,49,0.0457,0.0571,0.349,0.05,0.0229,-0.00714,0.00992
"50",2020-02-24,50,0.0543,0.08,0.187,0.0371,0.0314,-0.00429,0.00598
"51",2020-02-24,51,-0.00286,-0.00714,0.0743,-0.00857,0.00429,0.0143,-0.0125
"52",2020-02-24,52,-0.0286,-0.0286,-0.221,-0.0229,-0.0386,0.0257,-0.0302
"53",2020-02-24,53,0.0157,0.00143,-0.0143,0.0443,0.0114,0.00286,-0.00358
"54",2020-02-25,1,0.01,-0.00143,0.0743,0.00429,0.0229,-0.00286,0.00202
"55",2020-02-25,2,0.0184,-0.0242,0.142,-0.0129,-0.0153,0.00788,-0.00543
"56",2020-02-25,3,0.0371,0.0243,0.269,0.0257,0.0257,-0.00714,0.0133
