"","cityid","cityname","stateabbrev","statename","statefips","city_pop2019","year","month","day","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"1",1,"Los Angeles","CA","California",6,10039107,2020,2,24,0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625
"2",1,"Los Angeles","CA","California",6,10039107,2020,2,25,0.01,-0.00143,0.0743,0.00429,0.0229,-0.00286,0.00202
"3",1,"Los Angeles","CA","California",6,10039107,2020,2,26,0.0157,0.00286,0.0714,0.00571,0.0243,-0.00429,0.00362
"4",1,"Los Angeles","CA","California",6,10039107,2020,2,27,0.0186,0.00571,0.0757,0.00714,0.0243,-0.00429,0.00362
"5",1,"Los Angeles","CA","California",6,10039107,2020,2,28,0.0229,0.0114,0.08,0.01,0.0257,-0.00571,0.005
"6",1,"Los Angeles","CA","California",6,10039107,2020,2,29,0.0286,0.0186,0.114,0.0171,0.0271,-0.00857,0.01
"7",1,"Los Angeles","CA","California",6,10039107,2020,3,1,0.0286,0.0214,0.0886,0.0129,0.0257,-0.00857,0.01
"8",1,"Los Angeles","CA","California",6,10039107,2020,3,2,0.0343,0.03,0.0886,0.0114,0.0257,-0.00857,0.01
"9",1,"Los Angeles","CA","California",6,10039107,2020,3,3,0.0429,0.0386,0.116,0.01,0.0257,-0.00857,0.01
"10",1,"Los Angeles","CA","California",6,10039107,2020,3,4,0.0443,0.0443,0.113,0.00571,0.0243,-0.00714,0.00841
"11",1,"Los Angeles","CA","California",6,10039107,2020,3,5,0.0457,0.0514,0.106,0.00143,0.0243,-0.00571,0.00698
"12",1,"Los Angeles","CA","California",6,10039107,2020,3,6,0.0443,0.0543,0.101,-0.00429,0.0229,-0.00429,0.00559
"13",1,"Los Angeles","CA","California",6,10039107,2020,3,7,0.0414,0.0571,0.09,-0.01,0.0229,-0.00286,0.00309
"14",1,"Los Angeles","CA","California",6,10039107,2020,3,8,0.04,0.0586,0.12,-0.0114,0.0229,-0.00286,0.00309
"15",1,"Los Angeles","CA","California",6,10039107,2020,3,9,0.0371,0.0614,0.117,-0.0186,0.0214,-0.00143,0.0014
"16",1,"Los Angeles","CA","California",6,10039107,2020,3,10,0.0214,0.0557,0.03,-0.04,0.0143,0.00429,-0.00419
"17",1,"Los Angeles","CA","California",6,10039107,2020,3,11,0.0186,0.0629,0.0243,-0.0471,0.0114,0.00571,-0.00579
"18",1,"Los Angeles","CA","California",6,10039107,2020,3,12,0.00143,0.07,-0.0386,-0.0743,0.00429,0.0114,-0.0115
"19",1,"Los Angeles","CA","California",6,10039107,2020,3,13,-0.01,0.114,-0.101,-0.101,-0.00857,0.02,-0.0198
"20",1,"Los Angeles","CA","California",6,10039107,2020,3,14,-0.0314,0.144,-0.173,-0.129,-0.0214,0.03,-0.0374
"21",1,"Los Angeles","CA","California",6,10039107,2020,3,15,-0.0586,0.156,-0.227,-0.153,-0.0357,0.0386,-0.0548
"22",1,"Los Angeles","CA","California",6,10039107,2020,3,16,-0.09,0.163,-0.293,-0.189,-0.0714,0.0543,-0.0734
"23",1,"Los Angeles","CA","California",6,10039107,2020,3,17,-0.12,0.17,-0.281,-0.213,-0.11,0.07,-0.0888
"24",1,"Los Angeles","CA","California",6,10039107,2020,3,18,-0.163,0.159,-0.306,-0.251,-0.157,0.0914,-0.113
"25",1,"Los Angeles","CA","California",6,10039107,2020,3,19,-0.197,0.146,-0.299,-0.28,-0.203,0.111,-0.133
"26",1,"Los Angeles","CA","California",6,10039107,2020,3,20,-0.247,0.0857,-0.287,-0.313,-0.251,0.134,-0.155
"27",1,"Los Angeles","CA","California",6,10039107,2020,3,21,-0.296,0.0286,-0.26,-0.346,-0.29,0.15,-0.183
"28",1,"Los Angeles","CA","California",6,10039107,2020,3,22,-0.347,-0.0257,-0.28,-0.393,-0.331,0.164,-0.212
"29",1,"Los Angeles","CA","California",6,10039107,2020,3,23,-0.38,-0.07,-0.269,-0.421,-0.367,0.18,-0.23
"30",1,"Los Angeles","CA","California",6,10039107,2020,3,24,-0.407,-0.11,-0.287,-0.45,-0.396,0.193,-0.243
"31",1,"Los Angeles","CA","California",6,10039107,2020,3,25,-0.429,-0.143,-0.319,-0.474,-0.419,0.203,-0.254
"32",1,"Los Angeles","CA","California",6,10039107,2020,3,26,-0.444,-0.176,-0.326,-0.491,-0.44,0.211,-0.263
"33",1,"Los Angeles","CA","California",6,10039107,2020,3,27,-0.451,-0.196,-0.333,-0.501,-0.451,0.216,-0.267
"34",1,"Los Angeles","CA","California",6,10039107,2020,3,28,-0.454,-0.207,-0.367,-0.51,-0.459,0.219,-0.272
"35",1,"Los Angeles","CA","California",6,10039107,2020,3,29,-0.453,-0.209,-0.384,-0.51,-0.463,0.22,-0.275
"36",1,"Los Angeles","CA","California",6,10039107,2020,3,30,-0.453,-0.214,-0.387,-0.514,-0.469,0.22,-0.275
"37",1,"Los Angeles","CA","California",6,10039107,2020,3,31,-0.451,-0.217,-0.393,-0.514,-0.471,0.22,-0.275
"38",1,"Los Angeles","CA","California",6,10039107,2020,4,1,-0.449,-0.214,-0.393,-0.513,-0.476,0.22,-0.275
"39",1,"Los Angeles","CA","California",6,10039107,2020,4,2,-0.449,-0.213,-0.399,-0.514,-0.479,0.221,-0.276
"40",1,"Los Angeles","CA","California",6,10039107,2020,4,3,-0.446,-0.207,-0.404,-0.514,-0.481,0.221,-0.276
"41",1,"Los Angeles","CA","California",6,10039107,2020,4,4,-0.446,-0.206,-0.407,-0.513,-0.484,0.221,-0.276
"42",1,"Los Angeles","CA","California",6,10039107,2020,4,5,-0.449,-0.206,-0.423,-0.517,-0.487,0.221,-0.276
"43",1,"Los Angeles","CA","California",6,10039107,2020,4,6,-0.459,-0.211,-0.457,-0.527,-0.491,0.226,-0.281
"44",1,"Los Angeles","CA","California",6,10039107,2020,4,7,-0.471,-0.223,-0.486,-0.539,-0.496,0.23,-0.285
"45",1,"Los Angeles","CA","California",6,10039107,2020,4,8,-0.483,-0.236,-0.51,-0.55,-0.5,0.234,-0.29
"46",1,"Los Angeles","CA","California",6,10039107,2020,4,9,-0.5,-0.257,-0.553,-0.569,-0.507,0.24,-0.296
"47",1,"Los Angeles","CA","California",6,10039107,2020,4,10,-0.509,-0.267,-0.577,-0.579,-0.516,0.246,-0.301
"48",1,"Los Angeles","CA","California",6,10039107,2020,4,11,-0.51,-0.266,-0.577,-0.58,-0.519,0.246,-0.301
"49",1,"Los Angeles","CA","California",6,10039107,2020,4,12,-0.526,-0.281,-0.591,-0.584,-0.523,0.247,-0.304
"50",1,"Los Angeles","CA","California",6,10039107,2020,4,13,-0.523,-0.283,-0.576,-0.577,-0.519,0.244,-0.301
"51",1,"Los Angeles","CA","California",6,10039107,2020,4,14,-0.514,-0.276,-0.547,-0.567,-0.514,0.241,-0.298
"52",1,"Los Angeles","CA","California",6,10039107,2020,4,15,-0.511,-0.267,-0.526,-0.557,-0.509,0.239,-0.295
"53",1,"Los Angeles","CA","California",6,10039107,2020,4,16,-0.511,-0.247,-0.481,-0.537,-0.5,0.231,-0.288
"54",1,"Los Angeles","CA","California",6,10039107,2020,4,17,-0.521,-0.243,-0.463,-0.529,-0.49,0.226,-0.282
"55",1,"Los Angeles","CA","California",6,10039107,2020,4,18,-0.533,-0.246,-0.466,-0.526,-0.483,0.224,-0.28
"56",1,"Los Angeles","CA","California",6,10039107,2020,4,19,-0.527,-0.227,-0.439,-0.516,-0.473,0.221,-0.274
"57",1,"Los Angeles","CA","California",6,10039107,2020,4,20,-0.537,-0.219,-0.426,-0.51,-0.47,0.22,-0.272
"58",1,"Los Angeles","CA","California",6,10039107,2020,4,21,-0.55,-0.213,-0.421,-0.51,-0.469,0.219,-0.271
"59",1,"Los Angeles","CA","California",6,10039107,2020,4,22,-0.56,-0.211,-0.417,-0.511,-0.467,0.217,-0.269
"60",1,"Los Angeles","CA","California",6,10039107,2020,4,23,-0.559,-0.21,-0.413,-0.511,-0.467,0.217,-0.269
"61",1,"Los Angeles","CA","California",6,10039107,2020,4,24,-0.556,-0.206,-0.406,-0.51,-0.466,0.216,-0.268
"62",1,"Los Angeles","CA","California",6,10039107,2020,4,25,-0.553,-0.199,-0.394,-0.507,-0.464,0.213,-0.263
"63",1,"Los Angeles","CA","California",6,10039107,2020,4,26,-0.549,-0.193,-0.387,-0.506,-0.464,0.211,-0.26
"64",1,"Los Angeles","CA","California",6,10039107,2020,4,27,-0.546,-0.189,-0.379,-0.504,-0.463,0.21,-0.258
"65",1,"Los Angeles","CA","California",6,10039107,2020,4,28,-0.543,-0.184,-0.374,-0.5,-0.461,0.197,-0.246
"66",1,"Los Angeles","CA","California",6,10039107,2020,4,29,-0.537,-0.183,-0.376,-0.497,-0.46,0.196,-0.244
"67",1,"Los Angeles","CA","California",6,10039107,2020,4,30,-0.529,-0.179,-0.373,-0.493,-0.459,0.193,-0.241
"68",1,"Los Angeles","CA","California",6,10039107,2020,5,1,-0.52,-0.173,-0.363,-0.486,-0.457,0.191,-0.24
"69",1,"Los Angeles","CA","California",6,10039107,2020,5,2,-0.511,-0.166,-0.353,-0.479,-0.454,0.19,-0.237
"70",1,"Los Angeles","CA","California",6,10039107,2020,5,3,-0.503,-0.16,-0.339,-0.471,-0.447,0.187,-0.232
"71",1,"Los Angeles","CA","California",6,10039107,2020,5,4,-0.494,-0.154,-0.33,-0.467,-0.444,0.184,-0.228
"72",1,"Los Angeles","CA","California",6,10039107,2020,5,5,-0.486,-0.144,-0.32,-0.463,-0.441,0.193,-0.237
"73",1,"Los Angeles","CA","California",6,10039107,2020,5,6,-0.481,-0.137,-0.309,-0.46,-0.44,0.191,-0.235
"74",1,"Los Angeles","CA","California",6,10039107,2020,5,7,-0.479,-0.131,-0.299,-0.459,-0.437,0.19,-0.234
"75",1,"Los Angeles","CA","California",6,10039107,2020,5,8,-0.476,-0.126,-0.289,-0.457,-0.434,0.187,-0.231
"76",1,"Los Angeles","CA","California",6,10039107,2020,5,9,-0.47,-0.109,-0.276,-0.451,-0.43,0.184,-0.226
"77",1,"Los Angeles","CA","California",6,10039107,2020,5,10,-0.466,-0.09,-0.269,-0.441,-0.426,0.18,-0.217
"78",1,"Los Angeles","CA","California",6,10039107,2020,5,11,-0.466,-0.0943,-0.26,-0.441,-0.424,0.18,-0.217
"79",1,"Los Angeles","CA","California",6,10039107,2020,5,12,-0.466,-0.0986,-0.254,-0.441,-0.423,0.18,-0.217
