"","cityid","city","statefips","city_pop2019","date","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home","bc","co","no2","o3","pm10","pm25","so2"
"1",1,"LOS ANGELES",6,10039107,"2020-02-24",0.00571,-0.00286,0.0714,0.00286,0.0214,-0.00143,0.000625,NA,0.51,0.018,0.01,35,16,0
"2",1,"LOS ANGELES",6,10039107,"2020-02-25",0.01,-0.00143,0.0743,0.00429,0.0229,-0.00286,0.00202,NA,0.48,0.022,0.014,36.5,14,0
"3",1,"LOS ANGELES",6,10039107,"2020-02-26",0.0157,0.00286,0.0714,0.00571,0.0243,-0.00429,0.00362,NA,0.545,0.0235,0.0135,36,12,0
"4",1,"LOS ANGELES",6,10039107,"2020-02-27",0.0186,0.00571,0.0757,0.00714,0.0243,-0.00429,0.00362,NA,0.395,0.0195,0.021,34,8,0
"5",1,"LOS ANGELES",6,10039107,"2020-02-28",0.0229,0.0114,0.08,0.01,0.0257,-0.00571,0.005,NA,0.38,0.02,0.021,36.5,7.5,0
"6",1,"LOS ANGELES",6,10039107,"2020-02-29",0.0286,0.0186,0.114,0.0171,0.0271,-0.00857,0.01,NA,0.33,0.018,0.02,27,10,0
"7",1,"LOS ANGELES",6,10039107,"2020-03-01",0.0286,0.0214,0.0886,0.0129,0.0257,-0.00857,0.01,NA,0.19,0.004,0.036,24,10,0
"8",1,"LOS ANGELES",6,10039107,"2020-03-02",0.0343,0.03,0.0886,0.0114,0.0257,-0.00857,0.01,NA,0.22,0.006,0.03,21,6,0
"9",1,"LOS ANGELES",6,10039107,"2020-03-03",0.0429,0.0386,0.116,0.01,0.0257,-0.00857,0.01,NA,0.21,0.007,0.035,21.5,5.5,0
"10",1,"LOS ANGELES",6,10039107,"2020-03-04",0.0443,0.0443,0.113,0.00571,0.0243,-0.00714,0.00841,NA,0.3,0.0145,0.0165,43,16,0
"11",1,"LOS ANGELES",6,10039107,"2020-03-05",0.0457,0.0514,0.106,0.00143,0.0243,-0.00571,0.00698,NA,0.275,0.009,0.025,40.5,17,0
"12",1,"LOS ANGELES",6,10039107,"2020-03-06",0.0443,0.0543,0.101,-0.00429,0.0229,-0.00429,0.00559,NA,0.41,0.0195,0.0135,48.5,19,0
"13",1,"LOS ANGELES",6,10039107,"2020-03-07",0.0414,0.0571,0.09,-0.01,0.0229,-0.00286,0.00309,NA,0.155,0.003,0.034,22,11,0
"14",1,"LOS ANGELES",6,10039107,"2020-03-08",0.04,0.0586,0.12,-0.0114,0.0229,-0.00286,0.00309,NA,0.17,0.003,0.03,NA,NA,0
"15",1,"LOS ANGELES",6,10039107,"2020-03-09",0.0371,0.0614,0.117,-0.0186,0.0214,-0.00143,0.0014,NA,0.32,0.012,0.018,13,6,0
"16",1,"LOS ANGELES",6,10039107,"2020-03-10",0.0214,0.0557,0.03,-0.04,0.0143,0.00429,-0.00419,NA,0.215,0.01,0.02,10,6,0
"17",1,"LOS ANGELES",6,10039107,"2020-03-11",0.0186,0.0629,0.0243,-0.0471,0.0114,0.00571,-0.00579,NA,0.205,0.008,0.016,13,6,0
"18",1,"LOS ANGELES",6,10039107,"2020-03-12",0.00143,0.07,-0.0386,-0.0743,0.00429,0.0114,-0.0115,NA,0.295,0.012,0.01,17.5,7.5,0
"19",1,"LOS ANGELES",6,10039107,"2020-03-13",-0.01,0.114,-0.101,-0.101,-0.00857,0.02,-0.0198,NA,0.275,0.012,0.017,9.5,6,0
"20",1,"LOS ANGELES",6,10039107,"2020-03-14",-0.0314,0.144,-0.173,-0.129,-0.0214,0.03,-0.0374,NA,0.235,0.008,0.024,13,8,0
"21",1,"LOS ANGELES",6,10039107,"2020-03-15",-0.0586,0.156,-0.227,-0.153,-0.0357,0.0386,-0.0548,NA,0.19,0.004,0.03,10,4.5,0
"22",1,"LOS ANGELES",6,10039107,"2020-03-16",-0.09,0.163,-0.293,-0.189,-0.0714,0.0543,-0.0734,NA,0.225,0.009,0.024,19,7,0
"23",1,"LOS ANGELES",6,10039107,"2020-03-17",-0.12,0.17,-0.281,-0.213,-0.11,0.07,-0.0888,NA,0.22,0.0085,0.025,10,5,0
"24",1,"LOS ANGELES",6,10039107,"2020-03-18",-0.163,0.159,-0.306,-0.251,-0.157,0.0914,-0.113,NA,0.275,0.01,0.0215,15,6,0
"25",1,"LOS ANGELES",6,10039107,"2020-03-19",-0.197,0.146,-0.299,-0.28,-0.203,0.111,-0.133,NA,0.21,0.007,0.0285,20,5,0
"26",1,"LOS ANGELES",6,10039107,"2020-03-20",-0.247,0.0857,-0.287,-0.313,-0.251,0.134,-0.155,NA,0.21,0.0075,0.029,9,4,0
"27",1,"LOS ANGELES",6,10039107,"2020-03-21",-0.296,0.0286,-0.26,-0.346,-0.29,0.15,-0.183,NA,0.18,0.004,0.034,12.5,5,0
"28",1,"LOS ANGELES",6,10039107,"2020-03-22",-0.347,-0.0257,-0.28,-0.393,-0.331,0.164,-0.212,NA,0.22,0.0045,0.0285,12,5,0
"29",1,"LOS ANGELES",6,10039107,"2020-03-23",-0.38,-0.07,-0.269,-0.421,-0.367,0.18,-0.23,NA,0.18,0.003,0.037,9.5,4,0
"30",1,"LOS ANGELES",6,10039107,"2020-03-24",-0.407,-0.11,-0.287,-0.45,-0.396,0.193,-0.243,NA,0.24,0.008,0.024,15.5,5,0
"31",1,"LOS ANGELES",6,10039107,"2020-03-25",-0.429,-0.143,-0.319,-0.474,-0.419,0.203,-0.254,NA,0.14,0.003,0.035,10.5,3,0
"32",1,"LOS ANGELES",6,10039107,"2020-03-26",-0.444,-0.176,-0.326,-0.491,-0.44,0.211,-0.263,NA,0.15,0.003,0.036,10,4,0
"33",1,"LOS ANGELES",6,10039107,"2020-03-27",-0.451,-0.196,-0.333,-0.501,-0.451,0.216,-0.267,NA,0.17,0.004,0.0345,12,5,0
"34",1,"LOS ANGELES",6,10039107,"2020-03-28",-0.454,-0.207,-0.367,-0.51,-0.459,0.219,-0.272,NA,0.2,0.006,0.0305,21.5,8,0
"35",1,"LOS ANGELES",6,10039107,"2020-03-29",-0.453,-0.209,-0.384,-0.51,-0.463,0.22,-0.275,NA,0.22,0.004,0.036,23,9.5,0
"36",1,"LOS ANGELES",6,10039107,"2020-03-30",-0.453,-0.214,-0.387,-0.514,-0.469,0.22,-0.275,NA,0.24,0.008,0.032,24,9.5,0
"37",1,"LOS ANGELES",6,10039107,"2020-03-31",-0.451,-0.217,-0.393,-0.514,-0.471,0.22,-0.275,NA,0.31,0.0115,0.016,21,9,0
"38",1,"LOS ANGELES",6,10039107,"2020-04-01",-0.449,-0.214,-0.393,-0.513,-0.476,0.22,-0.275,NA,0.23,0.01,0.029,25,11,0
"39",1,"LOS ANGELES",6,10039107,"2020-04-02",-0.449,-0.213,-0.399,-0.514,-0.479,0.221,-0.276,NA,0.17,0.005,0.034,24,10,0
"40",1,"LOS ANGELES",6,10039107,"2020-04-03",-0.446,-0.207,-0.404,-0.514,-0.481,0.221,-0.276,NA,0.21,0.008,0.029,28,11,0
"41",1,"LOS ANGELES",6,10039107,"2020-04-04",-0.446,-0.206,-0.407,-0.513,-0.484,0.221,-0.276,NA,0.195,0.006,0.032,NA,NA,0
"42",1,"LOS ANGELES",6,10039107,"2020-04-05",-0.449,-0.206,-0.423,-0.517,-0.487,0.221,-0.276,NA,0.14,0.001,0.031,NA,NA,0
"43",1,"LOS ANGELES",6,10039107,"2020-04-06",-0.459,-0.211,-0.457,-0.527,-0.491,0.226,-0.281,NA,0.14,0.003,0.03,NA,NA,0
"44",1,"LOS ANGELES",6,10039107,"2020-04-07",-0.471,-0.223,-0.486,-0.539,-0.496,0.23,-0.285,NA,0.19,0.0055,0.033,NA,NA,0
"45",1,"LOS ANGELES",6,10039107,"2020-04-08",-0.483,-0.236,-0.51,-0.55,-0.5,0.234,-0.29,NA,0.18,0.005,0.032,7,4,0
"46",1,"LOS ANGELES",6,10039107,"2020-04-09",-0.5,-0.257,-0.553,-0.569,-0.507,0.24,-0.296,NA,0.18,0.006,0.03,5.5,2,0
